,날짜,환율
3,200501,"1,025.6"
4,200502,"1,006.0"
5,200503,"1,015.5"
6,200504,"1,002.8"
7,200505,"1,007.7"
8,200506,"1,025.4"
9,200507,"1,026.8"
10,200508,"1,038.5"
11,200509,"1,041.1"
12,200510,"1,040.2"
13,200511,"1,033.5"
14,200512,"1,011.6"
15,200601,964.6
16,200602,970.9
17,200603,971.6
18,200604,943.4
19,200605,945.6
20,200606,948.9
21,200607,955.2
22,200608,961.4
23,200609,946.2
24,200610,942.3
25,200611,929.5
26,200612,929.8
27,200701,941.0
28,200702,941.8
29,200703,940.9
30,200704,930.8
31,200705,927.7
32,200706,923.8
33,200707,919.3
34,200708,938.3
35,200709,915.1
36,200710,900.7
37,200711,921.1
38,200712,936.1
39,200801,943.9
40,200802,939.0
41,200803,990.4
42,200804,"1,002.6"
43,200805,"1,030.1"
44,200806,"1,046.0"
45,200807,"1,012.2"
46,200808,"1,089.0"
47,200809,"1,207.0"
48,200810,"1,291.0"
49,200811,"1,469.0"
50,200812,"1,259.5"
51,200901,"1,379.5"
52,200902,"1,534.0"
53,200903,"1,383.5"
54,200904,"1,282.0"
55,200905,"1,255.0"
56,200906,"1,273.9"
57,200907,"1,228.5"
58,200908,"1,248.9"
59,200909,"1,178.1"
60,200910,"1,182.5"
61,200911,"1,162.8"
62,200912,"1,164.5"
63,201001,"1,161.8"
64,201002,"1,160.0"
65,201003,"1,131.3"
66,201004,"1,108.4"
67,201005,"1,202.5"
68,201006,"1,222.2"
69,201007,"1,182.7"
70,201008,"1,198.1"
71,201009,"1,140.2"
72,201010,"1,125.3"
73,201011,"1,159.7"
74,201012,"1,134.8"
75,201101,"1,121.5"
76,201102,"1,128.7"
77,201103,"1,096.7"
78,201104,"1,071.5"
79,201105,"1,079.2"
80,201106,"1,067.7"
81,201107,"1,054.5"
82,201108,"1,066.8"
83,201109,"1,178.1"
84,201110,"1,110.0"
85,201111,"1,143.0"
86,201112,"1,151.0"
87,201201,"1,123.0"
88,201202,"1,118.0"
89,201203,"1,133.0"
90,201204,"1,130.0"
91,201205,"1,180.0"
92,201206,"1,145.0"
93,201207,"1,130.0"
94,201208,"1,134.0"
95,201209,"1,111.4"
96,201210,"1,090.7"
97,201211,"1,082.9"
98,201212,"1,070.6"
99,201301,"1,089.0"
100,201302,"1,083.0"
101,201303,"1,111.0"
102,201304,"1,101.0"
103,201305,"1,129.7"
104,201306,"1,142.0"
105,201307,"1,123.5"
106,201308,"1,110.0"
107,201309,"1,074.7"
108,201310,"1,060.7"
109,201311,"1,058.2"
110,201312,"1,055.4"
111,201401,"1,070.4"
112,201402,"1,067.5"
113,201403,"1,064.7"
114,201404,"1,033.2"
115,201405,"1,020.1"
116,201406,"1,011.8"
117,201407,"1,027.9"
118,201408,"1,014.0"
119,201409,"1,055.2"
120,201410,"1,068.5"
121,201411,"1,107.9"
122,201412,"1,099.3"
123,201501,"1,093.5"
124,201502,"1,098.4"
125,201503,"1,109.5"
126,201504,"1,072.4"
127,201505,"1,108.2"
128,201506,"1,115.5"
129,201507,"1,170.0"
130,201508,"1,182.5"
131,201509,"1,185.3"
132,201510,"1,140.1"
133,201511,"1,158.1"
134,201512,"1,172.5"
135,201601,"1,199.1"
136,201602,"1,236.7"
137,201603,"1,143.5"
138,201604,"1,139.3"
139,201605,"1,191.7"
140,201606,"1,151.8"
141,201607,"1,120.2"
142,201608,"1,114.8"
143,201609,"1,101.3"
144,201610,"1,144.5"
145,201611,"1,169.1"
146,201612,"1,207.7"
147,201701,"1,162.1"
148,201702,"1,130.7"
149,201703,"1,118.4"
150,201704,"1,137.9"
151,201705,"1,119.5"
152,201706,"1,144.1"
153,201707,"1,119.0"
154,201708,"1,127.8"
155,201709,"1,145.4"
156,201710,"1,120.4"
157,201711,"1,088.2"
158,201712,"1,070.5"
159,201801,"1,067.9"
160,201802,"1,082.8"
161,201803,"1,063.5"
162,201804,"1,068.0"
163,201805,"1,077.7"
164,201806,"1,114.5"
165,201807,"1,118.7"
166,201808,"1,112.9"
167,201809,"1,109.3"
168,201810,"1,139.6"
169,201811,"1,121.2"
170,201812,"1,115.7"
171,201901,"1,112.7"
172,201902,"1,124.7"
173,201903,"1,135.1"
174,201904,"1,168.2"
175,201905,"1,190.9"
176,201906,"1,154.7"
177,201907,"1,183.1"
178,201908,"1,211.2"
179,201909,"1,196.2"
180,201910,"1,163.4"
181,201911,"1,181.2"
182,201912,"1,156.4"
183,202001,"1,191.8"
184,202002,"1,213.7"
185,202003,"1,217.4"
186,202004,"1,218.2"
187,202005,"1,238.5"
188,202006,"1,203.0"
189,202007,"1,191.3"
190,202008,"1,187.8"
191,202009,"1,169.5"
192,202010,"1,135.1"
193,202011,"1,106.5"
194,202012,"1,086.3"
195,202101,"1,118.8"
196,202102,"1,123.5"
197,202103,"1,131.8"
198,202104,"1,112.3"
199,202105,"1,110.9"
200,202106,"1,126.1"
201,202107,"1,150.3"
202,202108,"1,159.5"
203,202109,"1,184.0"
204,202110,"1,168.6"
205,202111,"1,187.9"
206,202112,"1,188.8"
207,202201,"1,205.5"
208,202202,"1,202.3"
209,202203,"1,212.1"
